,Reviews
10,"Love, betrayal, greed, murder, corruption All collides in mythical world of Westeros. George R. R. Martin's world is unlike any other fantasy world you have ever seen. The main conflict lies between two families: House of Stark and House of Lannister, but there are many more stores to be told

Eddard Stark (Sean Bean) is the main character of the series, and the story is mostly about him. Since HBO has staked a lot of money into this series, there will be a lot of colorful characters, just like it the books.

The art dept. has done a magnificent job by creating a whole new world from scratch. Costumes, armors, landscape, photography All has been done in well-known HBO way.

Travel along side your heroes, from the cold North, and The Wall with Jon Snow, across the desert-city on the South, with Ned Stark, and join Daenerys and her riders on a mission to retrieve the Iron Throne.

Let the Game of Thrones begin!"
11,The best thing i have ever seen No words to describe it
12,"What can be said that hasn't already been said about this show? Quite frankly, it's the greatest TV series ever created. Movie quality acting, set design, storytelling, cinematography, costumes....the one knock is in some of the early episodes CGI not being up to par (dragons mostly).

The show is brilliant in almost every way. Never before have I been as surprised by the outcome and been along for an unpredictable ride of what happens and what is to come.

My previous all time favorite show was Breaking Bad and there's a wide gap between GOT and pretty much anything else already out there. The word epic is thrown around too often these days as are 10's for anything that's halfway decent. GOT is as worthy as anything else being labeled as epic and deserves a 10 in an imperfect grading system."
13,"It is sooo damn good that you will see any other tv series as mediocre. There is no other tv series is close to this one. Must see..but be warned when you start this you won't like any other show as this one when it ends, we all will be feel an emptiness. Hell waiting for other season becomes harder and harder. Get ready to lose yourselves in westeros, Enchanted,dangerous,mysterious,brutal,emotional,action packet,thrilled,horrifying and beautiful fantasy world. What are you still waiting for wasting your time reading this. If you haven't started it already you have to start this MASTERPIECE RIGHT NOW."
14,"An enthralling masterpiece that wields the scale and magnitude of the world built by George R.R Martin with precision and impact. You would be hard-pressed to find a dull moment in a show so rich with brilliant action, intriguing characters and multiple well-balanced plots."
15,"One of the best TV series ever,one day i ll read amd the books cause i loved everything in this TV series, all the characters are just great. If you love the lord of the rings so you should definitely watch this masterpiece"
16,"A few years ago I dismissed this show as being terrible after watching a couple of episodes, but I gave it another try today and I totally changed my mind. This is definitely one of the best shows I have ever seen and I haven't finished watching the first season yet."
17,"Best you'll ever see and miss watching!!!!

Hopefully they make a sequel after Season 8."
18,It takes a lot to keep me involved and interested in a series. And Game of Thrones just nailed it. Period. End of story! My life will consist of weekends of reruns when it's over. I'm so sad!
19,"With an average score of almost 10/10 from almost 1 million users, do I even need to write a review? Oh well, why not?

No TV series or movies can be compared to GoT.

In many BS movies/shows you can predict the ending after watching it for a few minutes (good ones always win and the bad ones seem to be completely retarded, blind, and incompetent. Well, not anymore!!!

The story in GoT is absolutely amazing, filled with interesting and ""realistic"" plot twists and unexpected events.

Acting is great, costumes and scenery as well. Every character is unique and interesting, and its great watching them develop. Everything is top quality.

If you start watching this, be prepared to get addicted quickly - you'll just feel a strong urge to watch the next episode, and another, and another until no more episodes are left. And finally I want to say that the series is really wonderful at all, and the soundtrack has been a genius and has contributed significantly to the perfection of the series."
20,"This show has the emotional intensity and very much paced plot and editing. Great, world class, different and very capable cast. Acting is incredible, costumes and scenery as well. Each character is unique and fascinating, and it's extraordinarily watching them develop.

Mind blowing everything!!! Season via season there all really solid each season appears like an alternate show because of the vast story-line changes. It's sufficient to catch your minds and hearts."
21,"Game of Thrones, the best TV show ever! But y'all know that already.

There is nothing more that I can praise that hasn't been said on here already.

I'm just here to put my 2 cents worth in because I'm a huge fan.

I will admit I waited till the hype was still on during season 3 before I said ""ok, gotta see what all then hype is about"", and thus I binge watched the first 2 seasons and every season thereafter.

Pure genius! A perfect 10/10!"
22,Dont waste your time reading the reviews just watch the show. Best show on tv .
23,"With an average score of almost 10/10 from almost 1 million users, do I even need to write a review? Oh well, why not?

No TV series or movies can be compared to GoT.

In many BS movies/shows you can predict the ending after watching it for a few minutes (good ones always win and the bad ones seem to be completely retarded, blind, and incompetent. Well, not anymore!!!

The story in GoT is absolutely amazing, filled with interesting and ""realistic"" plot twists and unexpected events.

Acting is great, costumes and scenery as well. Every character is unique and interesting, and its great watching them develop. Everything is top quality.

If you start watching this, be prepared to get addicted quickly - you'll just feel a strong urge to watch the next episode, and another, and another until no more episodes are left.

There is a downside to GoT however that needs to be mentioned: as many have stated, after watching it, you will realize that 99% shows/movies out there are not up to its standards. A show of this quality is rare indeed."
24,"Damn you George R.R. Martin! Don't do movies, finish the damn next book ... oh wait ... he did! OK! Than let's look at the series...

Well, above statement has a meaning: I read the books! Yeah, big deal, but when I did I always thought: ""It is not possible to do a movie about this!"" And I was right! ... but they did a series! And I can't really believe it, but: It (well, the pilot) is quite good! Never expected that!

Also funny how many people talk about the nudity and/or the gore. Yes you see some breasts and so on ... so what? This is a fantasy, that is realistic (if you didn't read the books and don't know, what I mean by that: Wait and watch the series ... and you will be surprised!) so the scenes are realistic too! I like that! Adds more to the feeling of the books!

The main problem is, that if you don't know the books you are quite lost with the characters and what happened to all of them. But I hope we will get deeper into the minds and backgrounds of those people! The cast for that is really well done and I hope for they can pass on the feelings I got when I read the book!

Overall: Great start, hoping for Brilliance!"
25,Best expensive Series.. Ever...😍😍😍😍i loved so much
26,"Unsure when it was recommended to me, but it is , the greatest film, show, experience, time, memory you will ever have"
27,"Seriously my life has been filled with emotions when watching this series. Watching Game Of Thrones makes me so fricking happy, please HBO make something as good or even better (that's hard) than this."
28,"This review is not about why this show is so great (see my 10 ranking) but a response to the haters who's comments I can't fully comprehend.

If you have never watched this show before and want a true perspective, see below:

1. If you absolutely ""in your bones"" hate fantasy, then this show is not for you. Even though this show is 95% about people and their attitudes toward power, government and corruption, there is 5% fantasy. If you can't get beyond the 5% then don't bother.

2. Yes there is a lot of sex. If this bothers you then don't watch. Is the sex always necessary to the plot? No, but it also doesn't derail the plot either. Pay TV like HBO has a lot of sex. If you are a puritan don't watch. The story and characters are so good that the ""overdone"" sex scenes are a minor issue.

3. Yes there is a lot of violence. If this bothers you don't watch. The violence is there to serve the plot. This show is a fantasy but is more heavily based on Medieval history. Would you be shocked to know that people lived harsh, short and often brutal lives 600 years ago in the real world. If you want PC and sanitary homogenized entertainment, then this is not for you.

4. Confusing plot- My response is yes and no. Yes, there are a lot of characters. Yes it is hard to remember all their names. Yes it is hard to follow all of the character interactions, what they are trying to do, who that hate, who they love, etc. If you want a TV show that ""spoon feeds"" you an easily digestible plot and a few easy to follow characters, then this is not the show for you. If you (like me) like to be challenged by a TV show and forced to think, analyze, guess and scratch your head, then you will love this show.

4. The acting is amazing- I've seen reviews that ""slam"" all of the actors. Are all of these people crazy? Have they ever seen good acting before? Do not believe any of these nay-sayers. Amazing acting and amazing casting.

5. The writing is excellent- Is is Shakespeare? No, but its extremely well written as is the source material. Since I originally read the books by George R.R. Martin, I have tried to read other books by authors like Stephen King, Dan Brown, John Grisham, etc. I've found that Martin's writing is far superior to these other authors. The show's writers utilize Martin's prose and often improve on it.

6. Stereotyping (typical fantasy stuff)- Wow, I can't believe this criticism. Well yes.. there are dragons. And yes.. there is magic. This is about a stereotypical as it gets. The entire point of the show is to take your typical ""fantasy"" and turn it upside-down. There are no totally good guys. There are no totally bad guys. Someone you hate in Season one, you may love by Season 3. Characters also act like real people. They are fully fleshed and not just cardboard cut out's. I guess if you are looking for stereotypical fantasy, this isn't it, but there is no way this is stereotypical."
29,"Everything in this show is fantastic. Action, actors, soundtrack, cinematography. AMAZING."
30,"I only started watching this show last summer on Sky box-sets, but I can honestly say this show is simply incredible. Firstly, this show is a medieval fantasy-drama but it is unlike any other fantasy film or television series you have ever seen. The show is based on George R.R. Martin's acclaimed 'A Song of Ice and Fire' novel series and it is an outstanding adaption of these great books. In later seasons, the show manages to heavily deviate from the book's contents and have actually surpassed the book series, and many characters who are deceased in the show are still alive in the books but the show's writers and producers have all managed to pull this off with spellbinding results. What carries this brilliant show is its numerous, but remarkably strong storytelling which manages to bewitch the viewer on the very first episode. Many of the shows characters, are instantly memorable and lovable, even the villains. All of the acting is outstanding and many of the show's stars deserve all their awards and should receive casting roles for their fabulous work on thw show. The medieval scenery on the show is incredibly realistic and believable it manages to send the viewers back in time. The settings are beautiful and filmed with exquisite precision in some of the most stunning parts of the world. Furthermore, the special effects and CGI are film-worthy and is what really brings this magical show to life. I don't wish to spoil a single plot point but all intelligent viewers and lovers of fantasy fiction should watch this show. Everyone I know who has watched has become instantly addicted so be prepared to be blown away. It is definitely not overrated in the slightest and is very worthy of your time and consideration. I consider it to be the most remarkable television series ever created by man. Grade A."
31,This show is the best thing I have ever seen in my entire life. I watched the entire 7 seasons in less than a week. My life literally stopped for a week and my only wish is to wipe my memory clean and live through that week once again.
32,"The best tv show i ever had a chance to wach... took me 3 days to finish all 7 season, best time spent in my life"
33,"After sitting down and watching the whole season in one sitting, I truly experienced something deeply engrossing, highly emotional, filled with dark plot twists, fantastic visuals, and storytelling of epic proportions.

Watching the whole season in one sitting blows most comparative movies out of the water, this is masterful cinema at it's finest.

Huge character development, on top of some of the best acting performances I've ever seen. From the lead characters to the peasants, wanderers, and barbarians every role in the whole show is excellent. Which I think adds vastly to it's depth. The scenery, the environment, the atmosphere - awe inspiring, breathless, and at times just magical.

This is by far the top TV series, the only thing I can see topping this anytime soon, is season 2. Which trust me, can't come soon enough. After this 10 hour marathon, I could probably watch another 50 hours straight. It's that engrossing, and with the way they left the ending of season one with so many questions unanswered and the plot developing, the second season should be even more amazing."
34,"Obviously you know or heard about mount Everest... Highest mountain peak in the world and everyone desires to climb up on it. That's the place of GAME OF THRONES in TV world. No other show I repeat NO OTHER SHOW is like this one... It's the just best. You will find everything hear... The CGI, action, emotions, excitement, terror, love, hate, betrayed , sex etc. Everything you know or you desire to experience.... I never read the book nor I intend to.... But this show is even greater than movies.... Lord of the rings look likes a kid before game of thrones and that's not exaggeration... Or may be a bit... But you gotta give it a time. Waiting for finale."
35,"I only began watching HBO productions a few years ago, so I had some catching up to do. I started with the Sopranos, and a fine choice it was. Ravenous for more of the same high quality, character driven TV, I turned to Deadwood. Again, my selection was rewarded with some absolutely tremendous viewing. Entourage, the Wire, Six Feet Under, Band of Brothers, Oz and Rome all continued to satisfy my viewing hunger. Then all of a sudden around 2009. It all stopped. Nothing new was out there from HBO.

Then out of nowhere in 2011, like a Mike Tyson right hook, WHAM! Boardwalk Empire came along. 12 joyous episodes of the highest quality TV around.

Then at just about the time I was recovering from the sheer joy of that, Game of Thrones came to air. Not a big fan of this genre, I sat down to watch it with a critical eye.....

Eight episodes later, my critical eye has decided that this is probably one of the best scripted, most perfectly cast and absolutely gripping TV series I've ever watched.

If like myself, you are a fan of complex human dramas, if you don't mind a bit (well a lot!) of violence and nudity, and if you love a good deal of intrigue, then this is undoubtedly a show you will enjoy.

Again, HBO I salute you!"
36,"I just had to make an IMDb account specifically to rate this show. There are a lot of ridiculously harsh reviews of this show that I find absurd.

The most common complaint seems to be too much sex. This is an HBO show. Yes, it will have more sex than any show you find on regular cable. But does it really have more sex than The Tudors or Spartacus, two really great premium channel shows? I find a lot of the sex is necessary to define the character's personalities and motives. The writers had to be creative here because it's not as if they can just describe the characters exactly the way the author described them in the book. People tend to show who they really are on the inside when they are having sex.

There seems to be a lot of viewers that don't like the show because ""it isn't the genre they care for."" If you watched this show and expected it to be anything less than an a violent, vulgar, epic, sexy fantasy story, then you must've been prepared to watch Twilight, and not Game of Thrones.

What makes this show so great is how quickly the story can change, even when it seems to violate TV show norms (i.e killing off a main role). Unfortunately, we can't really give the writers credit here, as they are just following the story.

Game of Thrones almost seems like it was written to be a TV show in the sense that it is entirely unpredictable. If you've never read the books, you will NEVER be able to guess which direction the show will start to go in and just when you think you've got it all figured out, something will change, leaving you guessing again and just dying to know what happens next."
37,"No matter how good something is (and no matter how terrible) you always have a small group of people who will disagree with the majority. Even when a show like Game of Thrones comes along there are still people who will inexplicably give it one star reviews. That's just nuts. Myself, I hate generic brainless TV shows like CSI but, being fair I think I would rate CSI Miami five out of ten. It's ridiculous tosh, but it's still has some positive elements to it. One of the fundamental problems with IMDb is people vote in an almost political way by unfairly giving a movie or TV show one star or for that matter ten stars, in an attempt to lower or raise the overall score. I thought of giving Game of thrones a nine because I very rarely ever give anything a ten. But then, despite not being perfect, it is one of the best and possibly most important TV series ever made.

For me the Sopranos is currently the most important TV show of my generation. Not just because it was great, but because every episode had the production values of a high budget movie. It made people realise that TV can not only be as good as a movie, but it can actually be better due the fact that you only spend ninety minutes with the characters of most movies as opposed to perhaps ten hours to the average HBO series. Then there's also the unscrupulous nature of Hollywood and it's grab the cash and run policies. A TV series gives you the time needed for a complex plot to unravel and to actually care about three dimensional and detailed characters as in a book. How many movies have failed to live up to the greatness of a book? I would argue most of them. Cloud Atlas being a recent example of a novel failing to have the same impact on the big screen. Even the Lord of the Rings saga (which I still think are great) look suddenly dated and thin when put side by side with Game of Thrones. Even with the extended editions, Peter Jackson and his team struggled to fit everything in. Despite plenty of positive changes, Lord of the Rings contained plenty of silly Hollywood 'additions'. I'm talking of things like Legolas doing some shield surfing in the battle of Helm's Deep. There's no shield surfing in Game of thrones. If anybody tried to mount a shield and surf it down some steps in battle there would be someone like Sandor Clegane to grimly cut his head off and stick it on a spike for trying to be a smart arse.

So Game of Thrones is important really important. It obviously has a large budget, that whilst not as high as Hollywood blockbuster, is still sufficient to make every episode look movie quality and to bring in an accomplished ensemble cast. You may never have heard of plenty of them. But they can certainly show some of those overpaid Hollywood A-listers a thing or two.

So what's so good? - Well we have a great cast from Sean Bean, Peter Dinklage, Liam Cunnigham, Michelle Fairley, Aiden Gillen, James Cosmo to name but a few. These may not be household names but you will recognise many faces and perhaps all the better for not being pampered A-listers. Sean Bean seems like he was born to play Ned Stark. I said that of him when he played Sharpe. But hey, he plays a grim northerner really well.



So, if you've made it all the way here, well done and thanks for reading. Now, Seven Hells, go and watch Game of Thrones for the night is dark and full of terrors."
38,"Where do I even begin? Game of Thrones is simply brilliant.

There is only one other television series which has managed to get me so emotionally involved, but I will not name it, for doing so would draw the focus away from this masterpiece.

Game of Thrones sends you to bed at night fearing for the life of your favourite character; you just don't know if next week's episode will be their last.

The writing is superb. I cannot stress enough how clever the writers are. It is a rare thing for someone like me to sit back and smile at so many of the bold, powerful and often double-edged one-liners the characters have. Here are a few examples:

""When you play the Game of Thrones, you win or you die.""

""If you thought this has a happy ending, you haven't been paying attention.""

""A day will come when you think yourself safe and happy, and suddenly your joy will turn to ashes in your mouth, and you'll know the debt is paid.""

""DRACARYS!""

I get so excited just reciting some of those quotes in my head! Do you see what this series does to you?! Those one-liners are SO POWERFUL - and the best part is that they're all-throughout the series! Those lines alone are capable of exciting me beyond belief for the next season.

The characters are also phenomenal. Take Varys and Littlefinger for example: two unbelievably complicated, sharp, and quick-witted characters which when put together make for some truly marvellous dialogue. Dialogue? YES! Dialogue! They make otherwise trivial conversation oh-so-interesting because their words always carry many meanings. Or perhaps Cersei and Joffrey: how is it even possible for one to loathe them both so much yet love them at the same time? I don't know, but I love/hate them so much!

The setting deserves a review on its own! Breathtaking! You truly do feel immersed in Westeros when you watch Game of Thrones.

Oh and can we just take a minute to worship George R.R. Martin? Thanks. I'm petrified of what that evil man will do in season five but at the same time I can't wait.

Oh, and another reason this show is brilliant: dragons. And Daenerys. Oh I could go on for days about Daenerys...HODOR!

This show has everything you could possibly hope for: there is never a dip in quality - the show achieves a high-quality consistency throughout; the characters and cast are absolutely incredible; the plot is ever-so-complicated and ingenious with many different layers and sub-plots; the setting and cinematography are utterly fantastic; the show never loses pace or interest; and you are emotionally ENGAGED.

In a nutshell, if you haven't seen Game of Thrones, then you need to. But be warned: your emotions will be toyed with, your heart torn in two, and on the day that you are finally happy, ""your joy will turn to ashes in your mouth.""

Oh, also, if you dislike nudity, gore, being upset, not-so-happy endings, or quality television and you'd rather watch people cook meth...look elsewhere.

WINTER IS COMING!"
39,"An epic tale of the struggle between good and evil. Game of Thrones is stunningly beautiful and a work of art out of the ordinary. Rarely have I been so moved by a movie / series. A must not only for those who enjoy a fantastic medieval adventure, but also for those who wish to be blown away by a brilliant storyline, strong characters, unexpected twists, beautiful scenery, captivating dialogue, fast paced action scenes... I could go on forever. You will hate the evil characters and love the good ones, or the contrary if you wish. To feel such strong feelings for the characters in a movie / series is the ultimate proof of what masterpiece Game of Thrones really is."
40,"I just can not believe how good this series is. Excellent actors, excellent dialogues, unbelievably good story-line, sets, costumes, atmosphere, camera, cuts, music etc, etc, etc.

I am normally not a person who writes reviews for something but i just watched episode 9 from season 6. I had tears in my eyes, i was screaming in front of my monitor and i was totally exhausted after watching this cinematic masterpiece.

I could have tried to write a very objective and proffesionall review about this series but at the end it is a highly emotional experience watching such perfectly made series like game of thrones."
41,"I'm not a very physical women as far as violence and killing are concerned in any shape or form, but I loved the historical slant of this TV Series.

What I really wish is that I was one of those women being ravaged like in another review I read. I actually laughed out loud because that was exactly what I was thinking. Brutally handsome men and sexy ladies...what a mixture! PLEASE continue with the style. It's fabulous! 10-10-10-10-10!

OH...and the locations were great too. I looked into the site and saw that it was Irelend...figures, because it's totally beautiful. Great job.

Oh...and my boyfriend is a fan now too. I made him watch it last night and he loved seeing the beautiful women bare their bodies and the brutal be-headings and fights. Of course he's a UFC fan too."
42,"I watched an encore last night and I was so enthralled with the grit and texture of the piece, so much, that I was emotionally and mentally whisked away into a fantasy world of passion. Passion of love, death, power and life. My lover and I watched it several times in a row last night, until we were totally and absolutely filled with satisfaction. It brought back all the great memories of epic films such as ""Braveheart,"" & ""Lawrence of Arabia,"" that we adored growing up.

We felt the acting was spot-on! The men were men...and the women...well, shall I dare say delicious! The costumers surpassed our expectations by again being accurate to the times and yet revealing a subtle teasing of the beautiful women's forms (Lena & Emilia)...and the locations were breath-taking. There aren't many films...and definitely NO American TV Shows that even come close to being as exciting to us, as this one. Lena is possibly the most lushish woman we've ever seen.

Being a history nut, I was thrilled with the successful attempt at depicting the brutality of the medieval era, including the sexual scenes. Traditionally, the women were mounted from behind by their lovers, which is accurate to that era...and it was exciting.

My lover and I took full advantage of the fantasy and ravaged each other after-wards. Thank you for Producing such an exciting and emotionally thought provoking TV Series.

Please...give us more! Especially Lena."
43,Best series ever! Watched it serveral times and it is the greatest creation to been made
